<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	16:30:00	1.09509	1.09629	1.09505	1.09595	2145	0	14
2024.01.02	16:45:00	1.09596	1.09634	1.09509	1.09621	2653	0	14
2024.01.02	17:00:00	1.09620	1.09675	1.09546	1.09571	2560	0	14
2024.01.02	17:15:00	1.09571	1.09610	1.09525	1.09587	2070	0	14
2024.01.02	17:30:00	1.09585	1.09585	1.09491	1.09521	2108	0	14
2024.01.02	17:45:00	1.09519	1.09550	1.09403	1.09429	2086	0	14
2024.01.02	18:00:00	1.09429	1.09575	1.09402	1.09568	1829	0	14
2024.01.02	18:15:00	1.09567	1.09609	1.09550	1.09572	1516	0	14
2024.01.02	18:30:00	1.09570	1.09571	1.09436	1.09461	1210	0	14
2024.01.02	18:45:00	1.09462	1.09573	1.09460	1.09558	962	0	14
2024.01.02	19:00:00	1.09558	1.09569	1.09473	1.09501	945	0	14
2024.01.02	19:15:00	1.09500	1.09549	1.09451	1.09527	1176	0	14
2024.01.02	19:30:00	1.09524	1.09553	1.09508	1.09509	819	0	14
2024.01.02	19:45:00	1.09508	1.09520	1.09460	1.09498	916	0	14
2024.01.02	20:00:00	1.09497	1.09537	1.09471	1.09522	699	0	14
2024.01.02	20:15:00	1.09522	1.09552	1.09517	1.09537	743	0	14
2024.01.02	20:30:00	1.09537	1.09543	1.09470	1.09476	604	0	14
2024.01.02	20:45:00	1.09476	1.09498	1.09456	1.09460	664	0	14
2024.01.02	21:00:00	1.09459	1.09468	1.09421	1.09458	656	0	14
2024.01.02	21:15:00	1.09458	1.09491	1.09437	1.09487	557	0	14
2024.01.02	21:30:00	1.09486	1.09495	1.09453	1.09472	381	0	14
2024.01.02	21:45:00	1.09472	1.09480	1.09443	1.09459	779	0	14
2024.01.02	22:00:00	1.09454	1.09501	1.09443	1.09470	633	0	24
2024.01.02	22:15:00	1.09471	1.09494	1.09446	1.09446	583	0	24
2024.01.02	22:30:00	1.09447	1.09475	1.09446	1.09457	694	0	24
2024.01.02	22:45:00	1.09458	1.09472	1.09409	1.09421	784	0	24
2024.01.02	23:00:00	1.09420	1.09421	1.09382	1.09401	521	0	24
2024.01.02	23:15:00	1.09402	1.09414	1.09374	1.09374	302	0	24
2024.01.02	23:30:00	1.09372	1.09401	1.09372	1.09396	193	0	24
2024.01.02	23:45:00	1.09396	1.09413	1.09393	1.09402	337	0	24
2024.01.03	00:00:00	1.09411	1.09411	1.09390	1.09402	24	0	37
2024.01.03	00:15:00	1.09402	1.09416	1.09377	1.09392	81	0	39
2024.01.03	00:30:00	1.09394	1.09397	1.09384	1.09385	53	0	24
2024.01.03	00:45:00	1.09390	1.09437	1.09389	1.09396	177	0	26
2024.01.03	01:00:00	1.09399	1.09431	1.09399	1.09423	146	0	14
2024.01.03	01:15:00	1.09423	1.09425	1.09408	1.09421	299	0	14
2024.01.03	01:30:00	1.09422	1.09423	1.09406	1.09407	278	0	14
2024.01.03	01:45:00	1.09407	1.09428	1.09401	1.09407	285	0	14
2024.01.03	02:00:00	1.09409	1.09439	1.09404	1.09438	277	0	14
2024.01.03	02:15:00	1.09437	1.09481	1.09433	1.09480	250	0	14
2024.01.03	02:30:00	1.09480	1.09498	1.09475	1.09491	330	0	14
